<<<<<<< HEAD
0,v,d,a,f,f,"('-34.5997073', '-58.3928346')"
0,v,d,a,f,f,"('-34.5997073', '-58.3928346')"
2,ABC,1234567890,A,ADRESS,60,"('49.3599333', '0.0798883')"
2,ABC,1234567890,A,ADRESS,60,"('49.3599333', '0.0798883')"
3,ABC,1234567890,A,ADRESS,60,"('49.3599333', '0.0798883')"
=======
0,v,d,a,f,f,"('-34.5997073', '-58.3928346')"
0,v,d,a,f,f,"('-34.5997073', '-58.3928346')"
2,ABC,1234567890,A,ADRESS,60,"('49.3599333', '0.0798883')"
2,ABC,1234567890,A,ADRESS,60,"('49.3599333', '0.0798883')"
3,ABC,1234567890,A,ADRESS,60,"('49.3599333', '0.0798883')"
>>>>>>> 45147a1f7bb4677053e53e813b6840f86ae203de
